path,suspicion,text_regions,rect_area,brightness,flagged
data/probe_indoor_env_v2/probe_indoor_env/public_library_reading_room_bookshelves/public_library_reading_room_bookshelves_0010_3747505.jpeg,0.2821,246,0.0,0.602,1
data/probe_indoor_env_v2/probe_indoor_env/hotel_lobby_interior_seating_area/hotel_lobby_interior_seating_area_0009_15942403.jpeg,0.2798,244,0.0,0.387,1
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0014_17910656.jpeg,0.2729,119,0.1057,0.353,1
data/raw/negative_clean/empty_conference_room_interior/empty_conference_room_interior_0016_5511124.jpeg,0.2706,118,0.1878,0.578,1
data/raw/negative_clean/pull_down_projection_screen_empty_room/pull_down_projection_screen_empty_room_0001_33312297.jpeg,0.2661,116,0.0964,0.256,1
data/probe_indoor_env_v2/probe_indoor_env/hotel_lobby_interior_seating_area/hotel_lobby_interior_seating_area_0001_4062524.jpeg,0.2626,229,0.0,0.326,1
data/raw/negative_clean/turned_off_computer_monitor_desk/turned_off_computer_monitor_desk_0003_5499551.jpeg,0.2546,111,0.0874,0.322,1
data/raw/negative_clean/cozy_home_interior_sofa_bright/cozy_home_interior_sofa_bright_0002_6480707.jpeg,0.2523,110,0.2159,0.676,1
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0002_12884327.jpeg,0.2511,219,0.0,0.361,1
data/raw/negative_clean/cozy_home_interior_sofa_bright/cozy_home_interior_sofa_bright_0027_12420730.jpeg,0.2466,215,0.0,0.583,1
data/probe_indoor_env_v2/probe_indoor_env/public_library_reading_room_bookshelves/public_library_reading_room_bookshelves_0007_35548579.jpeg,0.2454,107,0.0941,0.336,1
data/probe_indoor_env_v2/probe_indoor_env/hotel_lobby_interior_seating_area/hotel_lobby_interior_seating_area_0010_189295.jpeg,0.2443,213,0.0,0.487,1
data/raw/negative_clean/blank_whiteboard_office_wall/blank_whiteboard_office_wall_0011_31151561.jpeg,0.2431,106,0.2486,0.454,1
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0027_20677978.jpeg,0.2385,208,0.0,0.515,1
data/raw/negative_clean/empty_conference_room_interior/empty_conference_room_interior_0003_691485.jpeg,0.2339,204,0.0,0.686,1
data/raw/negative_clean/empty_conference_room_interior/empty_conference_room_interior_0002_6949382.jpeg,0.2317,101,0.1413,0.68,1
data/probe_indoor_env_v2/probe_indoor_env/hotel_lobby_interior_seating_area/hotel_lobby_interior_seating_area_0011_26729556.jpeg,0.2317,202,0.0,0.527,1
data/probe_indoor_env_v2/probe_indoor_env/hotel_lobby_interior_seating_area/hotel_lobby_interior_seating_area_0007_12284845.jpeg,0.2305,201,0.0,0.309,1
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0009_8082301.jpeg,0.2282,199,0.0,0.63,1
data/probe_indoor_env_v2/probe_indoor_env/public_library_reading_room_bookshelves/public_library_reading_room_bookshelves_0009_10819233.jpeg,0.2271,198,0.0,0.506,1
data/raw/negative_clean/cozy_home_interior_sofa_bright/cozy_home_interior_sofa_bright_0022_19916712.jpeg,0.2202,192,0.0,0.541,1
data/probe_indoor_env_v2/probe_indoor_env/empty_waiting_room_chairs_interior/empty_waiting_room_chairs_interior_0002_19921278.jpeg,0.2202,192,0.0,0.516,1
data/probe_indoor_env_v2/probe_indoor_env/public_library_reading_room_bookshelves/public_library_reading_room_bookshelves_0005_30484324.jpeg,0.2202,96,0.0541,0.46,1
data/raw/negative_clean/empty_living_room_interior_daylight/empty_living_room_interior_daylight_0012_7031622.jpeg,0.2179,95,0.0536,0.574,1
data/probe_indoor_env_v2/probe_indoor_env/hotel_lobby_interior_seating_area/hotel_lobby_interior_seating_area_0003_29283852.jpeg,0.2133,93,0.0798,0.362,1
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0020_8787754.jpeg,0.211,184,0.0,0.403,1
data/probe_indoor_env_v2/probe_indoor_env/modern_lounge_interior_sofa_window/modern_lounge_interior_sofa_window_0001_21852178.jpeg,0.211,184,0.0,0.302,1
data/raw/negative_clean/cozy_home_interior_sofa_bright/cozy_home_interior_sofa_bright_0005_7836571.jpeg,0.2087,182,0.0,0.66,1
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0018_35259540.jpeg,0.2076,181,0.0,0.225,1
data/raw/negative_clean/empty_living_room_interior_daylight/empty_living_room_interior_daylight_0021_17181934.jpeg,0.2041,89,0.498,0.612,1
data/probe_indoor_env_v2/probe_indoor_env/empty_waiting_room_chairs_interior/empty_waiting_room_chairs_interior_0012_18623554.jpeg,0.2041,89,0.295,0.38,1
data/raw/negative_clean/turned_off_computer_monitor_desk/turned_off_computer_monitor_desk_0010_6044929.jpeg,0.2018,88,0.0553,0.498,1
data/raw/negative_clean/cozy_home_interior_sofa_bright/cozy_home_interior_sofa_bright_0029_12498613.jpeg,0.1995,87,0.2247,0.681,1
data/probe_indoor_env_v2/probe_indoor_env/public_library_reading_room_bookshelves/public_library_reading_room_bookshelves_0004_3747504.jpeg,0.1995,174,0.0,0.51,1
data/probe_indoor_env_v2/probe_indoor_env/spa_wellness_center_interior_relaxation/spa_wellness_center_interior_relaxation_0007_11774389.jpeg,0.1995,87,0.6706,0.619,1
data/raw/negative_clean/empty_office_desks_no_people/empty_office_desks_no_people_0005_8353764.jpeg,0.1984,173,0.0,0.573,1
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0016_4022430.jpeg,0.1961,171,0.0,0.569,1
data/raw/negative_clean/turned_off_computer_monitor_desk/turned_off_computer_monitor_desk_0017_8297862.jpeg,0.195,170,0.0,0.228,1
data/raw/negative_clean/empty_office_desks_no_people/empty_office_desks_no_people_0011_8297861.jpeg,0.195,170,0.0,0.268,1
data/probe_indoor_env_v2/probe_indoor_env/empty_waiting_room_chairs_interior/empty_waiting_room_chairs_interior_0007_31707935.jpeg,0.195,170,0.0,0.709,1
data/raw/negative_clean/blank_whiteboard_office_wall/blank_whiteboard_office_wall_0023_7989092.jpeg,0.1938,169,0.0,0.812,1
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0013_26932519.jpeg,0.1938,169,0.0,0.34,1
data/raw/negative_clean/home_cinema_projector_screen_room/home_cinema_projector_screen_room_0006_30647348.jpeg,0.1938,169,0.0,0.393,1
data/raw/negative_clean/empty_whiteboard_meeting_room/empty_whiteboard_meeting_room_0005_2505119.jpeg,0.1904,83,0.4918,0.703,1
data/raw/negative_clean/empty_living_room_interior_daylight/empty_living_room_interior_daylight_0013_4571019.jpeg,0.1881,82,0.0735,0.654,1
data/raw/negative_clean/cozy_home_interior_sofa_bright/cozy_home_interior_sofa_bright_0020_8092165.jpeg,0.1881,82,0.1778,0.652,1
data/raw/negative_clean/empty_whiteboard_meeting_room/empty_whiteboard_meeting_room_0014_8101764.jpeg,0.1869,163,0.0,0.437,1
data/raw/negative_clean/blank_television_screen_living_room/blank_television_screen_living_room_0019_28228021.jpeg,0.1869,163,0.0,0.393,1
data/raw/negative_clean/blank_whiteboard_office_wall/blank_whiteboard_office_wall_0002_9034248.jpeg,0.1858,81,0.0558,0.611,1
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0019_20773072.jpeg,0.1835,160,0.0,0.582,1
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0021_6444253.jpeg,0.1835,160,0.0,0.567,1
data/raw/negative_clean/empty_conference_room_interior/empty_conference_room_interior_0008_29402560.jpeg,0.1835,80,0.1118,0.5,1
data/probe_indoor_env_v2/probe_indoor_env/office_reception_waiting_area_sofa/office_reception_waiting_area_sofa_0011_5008395.jpeg,0.1823,159,0.0,0.627,0
data/probe_indoor_env_v2/probe_indoor_env/public_library_reading_room_bookshelves/public_library_reading_room_bookshelves_0011_4947413.jpeg,0.1789,156,0.0,0.372,0
data/raw/negative_clean/empty_conference_room_interior/empty_conference_room_interior_0010_16859956.jpeg,0.1766,154,0.0,0.603,0
data/probe_indoor_env_v2/probe_indoor_env/hotel_lobby_interior_seating_area/hotel_lobby_interior_seating_area_0012_18313774.jpeg,0.1755,153,0.0,0.441,0
data/raw/negative_clean/empty_whiteboard_meeting_room/empty_whiteboard_meeting_room_0006_5869263.jpeg,0.1743,152,0.0,0.559,0
data/raw/negative_clean/empty_living_room_interior_daylight/empty_living_room_interior_daylight_0017_10043067.jpeg,0.1743,152,0.0,0.417,0
data/raw/negative_clean/blank_whiteboard_office_wall/blank_whiteboard_office_wall_0006_205321.png,0.172,75,0.1122,0.901,0
data/raw/negative_clean/blank_television_screen_living_room/blank_television_screen_living_room_0003_6977377.jpeg,0.172,75,0.0683,0.557,0
data/raw/negative_clean/blank_television_screen_living_room/blank_television_screen_living_room_0008_6782360.jpeg,0.1697,148,0.0,0.702,0
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0026_7534552.jpeg,0.1697,148,0.0,0.651,0
data/raw/negative_clean/home_cinema_projector_screen_room/home_cinema_projector_screen_room_0001_6789626.jpeg,0.1697,74,0.0526,0.249,0
data/raw/negative_clean/empty_living_room_interior_daylight/empty_living_room_interior_daylight_0026_6835088.jpeg,0.1674,73,0.1127,0.618,0
data/raw/negative_clean/empty_conference_room_interior/empty_conference_room_interior_0018_5511129.jpeg,0.1674,146,0.0,0.573,0
data/probe_indoor_env_v2/probe_indoor_env/public_library_reading_room_bookshelves/public_library_reading_room_bookshelves_0002_31390421.jpeg,0.1674,146,0.0,0.417,0
data/raw/negative_clean/blank_television_screen_living_room/blank_television_screen_living_room_0026_7046153.jpeg,0.1663,145,0.0,0.525,0
data/probe_indoor_env_v2/probe_indoor_env/office_reception_waiting_area_sofa/office_reception_waiting_area_sofa_0012_7750096.jpeg,0.1651,144,0.0,0.593,0
data/raw/negative_clean/empty_whiteboard_meeting_room/empty_whiteboard_meeting_room_0001_6180740.jpeg,0.164,143,0.0,0.631,0
data/probe_indoor_env_v2/probe_indoor_env/modern_lounge_interior_sofa_window/modern_lounge_interior_sofa_window_0004_6580232.jpeg,0.1628,142,0.0,0.523,0
data/raw/negative_clean/turned_off_computer_monitor_desk/turned_off_computer_monitor_desk_0018_6045235.jpeg,0.1617,141,0.0,0.62,0
data/raw/negative_clean/blank_whiteboard_office_wall/blank_whiteboard_office_wall_0009_15505438.jpeg,0.1606,70,0.6067,0.631,0
data/raw/negative_clean/blank_whiteboard_office_wall/blank_whiteboard_office_wall_0014_5324935.jpeg,0.1606,140,0.0,0.636,0
data/raw/negative_clean/cozy_home_interior_sofa_bright/cozy_home_interior_sofa_bright_0008_3965509.jpeg,0.1606,70,0.4345,0.843,0
data/raw/negative_clean/empty_conference_room_interior/empty_conference_room_interior_0019_8761312.jpeg,0.1571,137,0.0,0.425,0
data/raw/negative_clean/blank_television_screen_living_room/blank_television_screen_living_room_0014_8089078.jpeg,0.156,136,0.0,0.525,0
data/raw/negative_clean/empty_conference_room_interior/empty_conference_room_interior_0007_6949383.jpeg,0.156,136,0.0,0.623,0
data/raw/negative_clean/empty_office_desks_no_people/empty_office_desks_no_people_0002_7439754.jpeg,0.1548,135,0.0,0.843,0
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0004_36962663.jpeg,0.1537,67,0.2429,0.462,0
data/raw/negative_clean/large_projection_screen_hall_blank/large_projection_screen_hall_blank_0002_7081182.jpeg,0.1537,67,0.1333,0.23,0
data/probe_indoor_env_v2/probe_indoor_env/empty_waiting_room_chairs_interior/empty_waiting_room_chairs_interior_0005_19725407.jpeg,0.1537,134,0.0,0.221,0
data/probe_indoor_env_v2/probe_indoor_env/empty_waiting_room_chairs_interior/empty_waiting_room_chairs_interior_0009_34110996.jpeg,0.1537,134,0.0,0.213,0
data/raw/negative_clean/empty_whiteboard_meeting_room/empty_whiteboard_meeting_room_0011_8866722.jpeg,0.1514,66,0.1186,0.829,0
data/raw/negative_clean/turned_off_computer_monitor_desk/turned_off_computer_monitor_desk_0006_3747486.jpeg,0.1514,132,0.0,0.43,0
data/raw/negative_clean/blank_television_screen_living_room/blank_television_screen_living_room_0021_6186813.jpeg,0.1514,132,0.0,0.538,0
data/raw/negative_clean/empty_conference_room_interior/empty_conference_room_interior_0004_6899396.jpeg,0.1514,132,0.0,0.535,0
data/raw/negative_clean/empty_conference_room_interior/empty_conference_room_interior_0014_3906592.jpeg,0.1514,66,0.2842,0.403,0
data/raw/negative_clean/white_screen_wall_mounted_conference_room/white_screen_wall_mounted_conference_room_0008_21620915.jpeg,0.1514,66,0.473,0.494,0
data/raw/negative_clean/empty_whiteboard_meeting_room/empty_whiteboard_meeting_room_0009_6794971.jpeg,0.1491,65,0.1698,0.528,0
data/raw/negative_clean/cozy_home_interior_sofa_bright/cozy_home_interior_sofa_bright_0026_17269118.jpeg,0.1468,128,0.0,0.478,0
data/raw/negative_clean/cozy_home_interior_sofa_bright/cozy_home_interior_sofa_bright_0015_27023868.jpeg,0.1456,127,0.0,0.568,0
data/probe_indoor_env_v2/probe_indoor_env/modern_lounge_interior_sofa_window/modern_lounge_interior_sofa_window_0007_6246210.jpeg,0.1445,126,0.0,0.431,0
data/raw/negative_clean/empty_conference_room_interior/empty_conference_room_interior_0012_29277930.jpeg,0.1433,125,0.0,0.681,0
data/raw/negative_clean/white_screen_wall_mounted_conference_room/white_screen_wall_mounted_conference_room_0005_5511089.jpeg,0.1422,124,0.0,0.624,0
data/raw/negative_clean/empty_conference_room_interior/empty_conference_room_interior_0013_6949366.jpeg,0.1411,123,0.0,0.606,0
data/raw/negative_clean/turned_off_computer_monitor_desk/turned_off_computer_monitor_desk_0001_3747473.jpeg,0.1388,121,0.0,0.582,0
data/raw/negative_clean/empty_living_room_interior_daylight/empty_living_room_interior_daylight_0020_6636297.jpeg,0.1376,60,0.0992,0.678,0
